sensor_id,temperature,pressure,humidity,event_time
sensor_1,22.21,1015.43,52.08,1723955575710
sensor_2,27.77,1203.4,62.93,1723955575710
sensor_0,16.02,801.45,40.99,1723955575720
sensor_1,22.03,1015.73,51.87,1723955575720
sensor_2,28.1,1203.27,63.03,1723955575720
sensor_0,16.17,801.12,40.92,1723955575730
sensor_1,21.76,1014.81,52.02,1723955575730
sensor_2,28.19,1202.67,63.06,1723955575730
sensor_0,16.0,800.96,41.05,1723955575740
sensor_1,21.82,1015.43,51.84,1723955575741
sensor_2,27.83,1202.65,62.99,1723955575741
sensor_0,16.06,800.88,40.92,1723955575751
sensor_1,22.02,1015.5,51.85,1723955575751
sensor_2,27.97,1203.23,62.88,1723955575751
sensor_0,16.04,800.59,40.99,1723955575761
sensor_1,21.63,1015.53,51.79,1723955575761
sensor_2,27.79,1203.08,62.81,1723955575761
sensor_0,15.96,800.68,40.95,1723955575771
sensor_1,21.89,1015.09,51.99,1723955575771
sensor_2,27.91,1203.05,62.96,1723955575771
sensor_0,15.89,800.71,40.98,1723955575781
sensor_1,22.15,1015.23,51.77,1723955575782
sensor_2,27.58,1202.5,62.67,1723955575782
sensor_0,16.06,801.16,40.98,1723955575792
sensor_1,21.65,1015.22,51.8,1723955575792
sensor_2,27.93,1202.78,62.63,1723955575792
sensor_0,15.72,800.68,40.96,1723955575802
sensor_1,22.01,1014.73,51.81,1723955575802
sensor_2,27.91,1202.54,62.64,1723955575802
sensor_0,15.82,801.27,40.92,1723955575812
sensor_1,21.74,1014.47,51.65,1723955575812
sensor_2,27.73,1202.26,62.48,1723955575812
sensor_0,15.97,801.27,40.77,1723955575822
sensor_1,21.91,1014.51,51.81,1723955575822
sensor_2,27.69,1202.07,62.39,1723955575822
sensor_0,16.0,800.81,40.75,1723955575833
sensor_1,21.86,1014.39,51.71,1723955575833
sensor_2,27.28,1202.82,62.46,1723955575833
sensor_0,15.75,800.8,40.69,1723955575843
sensor_1,21.33,1014.51,51.54,1723955575843
sensor_2,27.12,1201.86,62.42,1723955575843
sensor_0,15.93,800.84,40.72,1723955575853
sensor_1,21.22,1014.76,51.45,1723955575853
sensor_2,27.01,1202.69,62.3,1723955575853
sensor_0,15.71,800.85,40.75,1723955575863
sensor_1,21.65,1014.11,51.42,1723955575863
sensor_2,27.14,1202.42,62.21,1723955575863
sensor_0,15.8,800.24,40.64,1723955575874
sensor_1,21.08,1015.13,51.47,1723955575874
sensor_2,27.13,1202.09,62.04,1723955575874
sensor_0,15.5,800.31,40.7,1723955575884
sensor_1,21.42,1014.79,51.23,1723955575884
sensor_2,26.96,1201.82,61.85,1723955575884
sensor_0,15.62,800.66,40.69,1723955575894
sensor_1,21.11,1015.01,51.23,1723955575894
sensor_2,26.88,1201.86,61.83,1723955575894
sensor_0,15.72,800.87,40.48,1723955575904
sensor_1,21.24,1014.32,51.01,1723955575904
sensor_2,26.88,1201.63,61.73,1723955575905
sensor_0,15.32,800.45,40.54,1723955575915
sensor_1,20.82,1014.29,51.12,1723955575915
sensor_2,26.52,1202.08,61.47,1723955575915
sensor_0,15.31,800.14,40.47,1723955575925
sensor_1,21.13,1013.71,51.04,1723955575925
sensor_2,26.51,1201.64,61.49,1723955575925
sensor_0,15.49,800.25,40.38,1723955575935
sensor_1,20.75,1014.63,50.88,1723955575935
sensor_2,26.3,1201.03,61.32,1723955575935
sensor_0,15.38,800.38,40.34,1723955575946
sensor_1,20.6,1014.26,50.64,1723955575946
sensor_2,26.37,1200.97,61.09,1723955575946
sensor_0,15.53,800.69,40.32,1723955575956
sensor_1,20.77,1013.54,50.8,1723955575956
sensor_2,25.76,1200.59,60.94,1723955575956
sensor_0,15.21,800.03,40.27,1723955575966
sensor_1,20.4,1013.7,50.63,1723955575966
sensor_2,25.8,1200.46,60.86,1723955575966
sensor_0,15.17,800.01,40.31,1723955575976
sensor_1,20.35,1013.62,50.58,1723955575976
sensor_2,25.91,1200.72,60.73,1723955575976
sensor_0,15.13,800.43,40.22,1723955575986
sensor_1,20.16,1014.02,50.44,1723955575986
sensor_2,25.4,1200.47,60.69,1723955575987
sensor_0,15.05,800.02,40.05,1723955575997
sensor_1,20.33,1014.0,50.29,1723955575997
sensor_2,25.37,1200.55,60.41,1723955575997
sensor_0,15.02,799.86,40.18,1723955576007
sensor_1,19.97,1013.44,50.13,1723955576007
sensor_2,25.15,1199.92,60.18,1723955576007
sensor_0,14.98,800.08,39.95,1723955576017
sensor_1,19.8,1012.92,50.02,1723955576017
sensor_2,25.14,1200.39,60.23,1723955576017
sensor_0,15.07,799.78,40.05,1723955576027
sensor_1,19.96,1013.68,50.08,1723955576027
sensor_2,24.82,1200.13,59.87,1723955576027
sensor_0,15.06,799.54,39.93,1723955576037
sensor_1,19.69,1012.83,50.01,1723955576038
sensor_2,24.59,1199.52,59.85,1723955576038
sensor_0,14.87,800.2,39.99,1723955576048
sensor_1,20.03,1013.12,49.68,1723955576048
sensor_2,24.86,1199.81,59.66,1723955576048
sensor_0,14.91,799.43,39.92,1723955576058
sensor_1,19.89,1013.19,49.54,1723955576058
sensor_2,24.74,1200.07,59.52,1723955576058
sensor_0,14.83,799.34,39.8,1723955576068
sensor_1,19.57,1012.48,49.59,1723955576068
sensor_2,24.54,1199.16,59.44,1723955576068
sensor_0,14.59,799.99,39.69,1723955576078
sensor_1,19.2,1012.95,49.43,1723955576079
sensor_2,24.04,1199.74,59.14,1723955576079
sensor_0,14.68,799.35,39.61,1723955576089
sensor_1,19.51,1012.94,49.38,1723955576089
sensor_2,24.28,1199.16,59.18,1723955576089
sensor_0,14.73,800.09,39.55,1723955576099
sensor_1,19.59,1012.37,49.44,1723955576099
sensor_2,24.01,1198.79,58.97,1723955576099
sensor_0,14.55,799.4,39.63,1723955576109
sensor_1,19.41,1012.07,49.34,1723955576109
sensor_2,23.97,1198.74,58.74,1723955576109
sensor_0,14.46,799.67,39.53,1723955576119
sensor_1,18.96,1012.76,48.98,1723955576120
sensor_2,23.78,1199.19,58.68,1723955576120
sensor_0,14.5,799.6,39.54,1723955576130
sensor_1,19.17,1012.07,48.94,1723955576130
sensor_2,23.37,1198.91,58.5,1723955576130
sensor_0,14.39,799.74,39.4,1723955576140
sensor_1,19.06,1012.48,49.0,1723955576140
sensor_2,23.65,1198.27,58.38,1723955576140
sensor_0,14.4,799.81,39.39,1723955576150
sensor_1,18.81,1011.98,48.75,1723955576150
sensor_2,23.09,1198.14,58.34,1723955576150
sensor_0,14.46,799.36,39.37,1723955576160
sensor_1,18.51,1011.91,48.92,1723955576161
sensor_2,23.04,1198.38,58.23,1723955576161
sensor_0,14.22,799.22,39.26,1723955576171
sensor_1,18.42,1011.84,48.66,1723955576171
sensor_2,22.98,1197.87,58.17,1723955576171
sensor_0,14.19,799.39,39.32,1723955576181
sensor_1,18.83,1012.18,48.73,1723955576181
sensor_2,23.06,1198.0,57.89,1723955576181
sensor_0,14.39,799.47,39.2,1723955576191
sensor_1,18.58,1011.98,48.51,1723955576191
sensor_2,22.63,1198.33,57.86,1723955576191
sensor_0,14.09,799.31,39.29,1723955576202
sensor_1,18.63,1011.61,48.63,1723955576202
sensor_2,22.82,1197.24,57.67,1723955576202
sensor_0,14.09,799.43,39.15,1723955576212
sensor_1,18.45,1011.37,48.55,1723955576212
sensor_2,22.56,1197.63,57.53,1723955576212
sensor_0,14.22,798.95,39.25,1723955576222
sensor_1,18.26,1011.44,48.24,1723955576222
sensor_2,22.49,1197.83,57.57,1723955576222
sensor_0,13.98,799.15,39.13,1723955576232
sensor_1,18.4,1011.17,48.31,1723955576233
sensor_2,22.49,1197.24,57.46,1723955576233
sensor_0,14.07,798.78,39.12,1723955576243
sensor_1,18.43,1011.43,48.33,1723955576243
sensor_2,22.35,1197.18,57.35,1723955576243
sensor_0,14.07,798.7,39.15,1723955576253
sensor_1,18.5,1011.06,48.24,1723955576253
sensor_2,22.25,1197.62,57.28,1723955576253
sensor_0,13.95,798.72,39.0,1723955576263
sensor_1,18.08,1011.81,48.28,1723955576263
sensor_2,22.37,1196.93,57.33,1723955576263
sensor_0,13.92,799.35,39.03,1723955576273
sensor_1,17.85,1011.26,48.08,1723955576274
sensor_2,22.09,1197.23,57.27,1723955576274
sensor_0,13.9,799.49,39.07,1723955576284
sensor_1,18.13,1011.6,48.08,1723955576284
sensor_2,22.06,1196.98,57.14,1723955576284
sensor_0,14.05,799.47,39.13,1723955576294
sensor_1,18.15,1011.38,47.96,1723955576294
sensor_2,22.15,1196.74,57.15,1723955576294
sensor_0,13.93,798.99,38.93,1723955576304
sensor_1,17.89,1011.44,47.95,1723955576304
sensor_2,22.27,1197.56,56.97,1723955576304
sensor_0,14.09,799.32,38.97,1723955576314
sensor_1,18.27,1011.56,47.96,1723955576314
sensor_2,22.17,1196.75,57.04,1723955576315
sensor_0,13.89,799.32,39.0,1723955576325
sensor_1,18.26,1011.86,48.15,1723955576325
sensor_2,21.96,1197.35,56.97,1723955576325
sensor_0,14.13,798.95,38.94,1723955576335
sensor_1,18.28,1010.81,47.9,1723955576335
sensor_2,22.18,1196.8,56.99,1723955576335
sensor_0,13.92,799.07,39.06,1723955576345
sensor_1,18.21,1011.3,47.88,1723955576345
sensor_2,22.07,1197.04,57.09,1723955576345
sensor_0,13.88,798.96,39.1,1723955576355
sensor_1,17.83,1010.94,47.94,1723955576355
sensor_2,22.07,1197.19,57.08,1723955576355
sensor_0,14.06,799.08,38.94,1723955576366
sensor_1,17.85,1011.43,47.91,1723955576366
sensor_2,22.22,1197.5,56.94,1723955576366
sensor_0,13.92,798.82,39.08,1723955576376
sensor_1,17.83,1011.39,48.12,1723955576376
sensor_2,22.23,1197.19,57.01,1723955576376
sensor_0,14.06,798.64,39.04,1723955576386
sensor_1,17.76,1010.71,48.05,1723955576386
sensor_2,22.06,1196.58,57.16,1723955576386
sensor_0,14.1,798.81,39.05,1723955576396
sensor_1,17.76,1011.71,48.15,1723955576396
sensor_2,22.09,1197.13,56.97,1723955576397
sensor_0,13.88,799.32,39.01,1723955576407
sensor_1,17.84,1011.78,48.06,1723955576407
sensor_2,22.3,1197.19,57.02,1723955576407
sensor_0,14.16,799.2,39.13,1723955576417
sensor_1,18.24,1011.48,48.01,1723955576417
sensor_2,22.17,1196.72,57.06,1723955576417
sensor_0,14.17,799.56,39.0,1723955576427
sensor_1,18.21,1011.26,48.02,1723955576427
sensor_2,22.07,1197.23,57.15,1723955576427
sensor_0,13.9,799.29,39.12,1723955576437
sensor_1,18.28,1011.96,48.24,1723955576437
sensor_2,22.29,1197.82,57.4,1723955576438
sensor_0,14.1,799.31,39.03,1723955576448
sensor_1,18.22,1011.41,48.25,1723955576448
sensor_2,22.47,1197.7,57.44,1723955576448
sensor_0,14.22,799.12,39.13,1723955576458
sensor_1,18.27,1011.23,48.16,1723955576458
sensor_2,22.3,1197.74,57.39,1723955576458
sensor_0,14.0,799.25,39.26,1723955576468
sensor_1,18.42,1011.57,48.31,1723955576468
sensor_2,22.27,1197.93,57.42,1723955576468
sensor_0,14.05,799.25,39.11,1723955576478
sensor_1,18.11,1012.06,48.25,1723955576479
sensor_2,22.43,1197.42,57.6,1723955576479
sensor_0,14.21,799.15,39.14,1723955576489
sensor_1,18.25,1011.81,48.51,1723955576489
sensor_2,22.64,1197.62,57.72,1723955576489
sensor_0,14.35,799.7,39.31,1723955576499
sensor_1,18.6,1012.23,48.38,1723955576499
sensor_2,22.75,1198.0,57.67,1723955576499
sensor_0,14.33,799.54,39.28,1723955576509
sensor_1,18.79,1011.32,48.55,1723955576509
sensor_2,22.64,1198.12,57.99,1723955576509
sensor_0,14.21,798.9,39.31,1723955576519
sensor_1,18.54,1012.14,48.61,1723955576520
sensor_2,22.97,1198.46,58.03,1723955576520
sensor_0,14.25,799.54,39.37,1723955576530
sensor_1,18.86,1012.25,48.59,1723955576530
sensor_2,23.03,1198.09,58.05,1723955576530
sensor_0,14.48,799.74,39.38,1723955576540
sensor_1,18.95,1011.71,48.84,1723955576540
sensor_2,23.06,1198.15,58.23,1723955576540
sensor_0,14.45,799.12,39.44,1723955576550
sensor_1,18.94,1012.39,48.84,1723955576550
sensor_2,23.27,1198.65,58.23,1723955576550
sensor_0,14.39,799.79,39.44,1723955576560
sensor_1,18.76,1011.78,48.95,1723955576561
sensor_2,23.44,1198.49,58.37,1723955576561
sensor_0,14.42,800.02,39.6,1723955576571
sensor_1,18.8,1012.05,48.97,1723955576571
sensor_2,23.76,1198.81,58.5,1723955576571
sensor_0,14.61,799.35,39.5,1723955576581
sensor_1,19.36,1012.93,49.15,1723955576581
sensor_2,23.55,1199.15,58.71,1723955576581
sensor_0,14.72,799.95,39.68,1723955576591
sensor_1,19.49,1012.6,49.27,1723955576591
sensor_2,23.97,1198.82,58.98,1723955576591
sensor_0,14.53,799.71,39.64,1723955576602
sensor_1,19.07,1012.9,49.25,1723955576602
sensor_2,24.17,1199.16,59.12,1723955576602
sensor_0,14.64,799.8,39.71,1723955576612
sensor_1,19.61,1012.78,49.48,1723955576612
sensor_2,24.34,1199.32,59.12,1723955576612
sensor_0,14.87,799.87,39.86,1723955576622
sensor_1,19.34,1012.7,49.61,1723955576622
sensor_2,24.46,1199.83,59.26,1723955576622
sensor_0,14.95,800.23,39.78,1723955576633
sensor_1,19.73,1013.09,49.5,1723955576633
sensor_2,24.21,1199.91,59.39,1723955576633
sensor_0,14.87,799.46,39.84,1723955576644
sensor_1,20.0,1013.22,49.61,1723955576644
sensor_2,24.4,1199.59,59.68,1723955576644
sensor_0,15.09,799.44,40.01,1723955576654
sensor_1,19.88,1013.32,49.85,1723955576654
sensor_2,24.76,1199.54,59.84,1723955576654
sensor_0,15.13,800.35,39.97,1723955576664
sensor_1,19.96,1012.78,50.03,1723955576664
sensor_2,25.02,1200.36,60.0,1723955576664
sensor_0,15.17,799.58,40.04,1723955576674
sensor_1,19.85,1013.36,49.99,1723955576675
sensor_2,24.87,1200.15,60.04,1723955576675
sensor_0,15.08,800.37,40.01,1723955576685
sensor_1,19.89,1012.99,50.21,1723955576685
sensor_2,25.17,1200.73,60.1,1723955576686
sensor_0,15.14,800.56,40.16,1723955576696
sensor_1,20.4,1013.53,50.1,1723955576696
sensor_2,25.31,1199.96,60.32,1723955576696
sensor_0,15.25,800.43,40.14,1723955576706
sensor_1,20.43,1013.28,50.32,1723955576706
sensor_2,25.42,1200.4,60.4,1723955576706
sensor_0,15.26,799.99,40.2,1723955576716
sensor_1,20.48,1013.74,50.48,1723955576716
sensor_2,25.7,1200.92,60.73,1723955576716
sensor_0,15.32,800.01,40.17,1723955576727
sensor_1,20.62,1014.31,50.63,1723955576727
sensor_2,25.89,1200.33,60.89,1723955576727
sensor_0,15.37,800.33,40.33,1723955576737
sensor_1,20.51,1013.56,50.68,1723955576737
sensor_2,26.1,1200.99,60.98,1723955576737
sensor_0,15.36,800.26,40.45,1723955576747
sensor_1,20.58,1014.11,50.79,1723955576747
sensor_2,25.9,1200.99,61.1,1723955576747
sensor_0,15.39,800.74,40.48,1723955576757
sensor_1,21.08,1014.64,50.85,1723955576757
sensor_2,26.1,1201.13,61.14,1723955576757
sensor_0,15.43,800.53,40.45,1723955576767
sensor_1,20.61,1014.5,50.98,1723955576767
sensor_2,26.43,1201.2,61.46,1723955576767
sensor_0,15.3,800.78,40.39,1723955576778
sensor_1,21.21,1014.12,51.02,1723955576778
sensor_2,26.52,1201.7,61.57,1723955576778
sensor_0,15.66,800.56,40.47,1723955576788
sensor_1,21.05,1013.82,51.04,1723955576788
sensor_2,26.47,1201.63,61.62,1723955576788
sensor_0,15.7,800.38,40.63,1723955576798
sensor_1,21.24,1014.46,51.28,1723955576798
sensor_2,26.79,1201.36,61.75,1723955576798
sensor_0,15.67,800.16,40.61,1723955576808
sensor_1,21.11,1014.16,51.28,1723955576808
sensor_2,26.63,1201.33,61.76,1723955576808
sensor_0,15.53,801.15,40.7,1723955576819
sensor_1,21.38,1014.46,51.29,1723955576819
sensor_2,26.89,1202.15,62.01,1723955576819
sensor_0,15.8,800.56,40.76,1723955576829
sensor_1,21.46,1014.11,51.27,1723955576829
sensor_2,27.24,1202.51,62.11,1723955576829
sensor_0,15.77,800.51,40.73,1723955576839
sensor_1,21.59,1014.91,51.33,1723955576839
sensor_2,27.33,1202.02,62.25,1723955576839
sensor_0,15.78,801.1,40.75,1723955576849
sensor_1,21.38,1014.88,51.47,1723955576849
sensor_2,27.11,1202.36,62.21,1723955576849
sensor_0,15.64,800.92,40.75,1723955576859
sensor_1,21.88,1014.56,51.67,1723955576860
sensor_2,27.43,1202.02,62.47,1723955576860
sensor_0,15.63,801.11,40.85,1723955576870
sensor_1,21.81,1014.36,51.5,1723955576870
sensor_2,27.47,1202.77,62.36,1723955576870
sensor_0,15.67,801.03,40.78,1723955576880
sensor_1,21.45,1014.54,51.68,1723955576880
sensor_2,27.39,1202.55,62.65,1723955576880
sensor_0,15.73,801.11,40.88,1723955576890
sensor_1,22.03,1015.05,51.75,1723955576890
sensor_2,27.44,1202.64,62.53,1723955576890
sensor_0,15.93,800.85,40.93,1723955576900
sensor_1,21.8,1014.84,51.92,1723955576900
sensor_2,27.77,1202.46,62.72,1723955576900
sensor_0,15.72,801.17,40.93,1723955576911
sensor_1,21.73,1014.51,51.85,1723955576911
sensor_2,27.77,1202.45,62.74,1723955576911
sensor_0,15.93,801.33,41.0,1723955576921
sensor_1,22.17,1015.49,51.84,1723955576921
sensor_2,27.8,1202.82,62.84,1723955576921
sensor_0,16.1,801.23,40.86,1723955576931
sensor_1,21.79,1015.5,51.76,1723955576931
sensor_2,27.75,1202.53,62.77,1723955576931
sensor_0,16.03,801.25,41.03,1723955576941
sensor_1,21.87,1014.9,51.86,1723955576941
sensor_2,27.99,1202.8,62.81,1723955576942
sensor_0,15.94,800.87,40.89,1723955576952
sensor_1,22.23,1015.11,51.87,1723955576952
sensor_2,28.1,1203.16,62.85,1723955576952
sensor_0,16.12,801.33,40.98,1723955576962
sensor_1,22.1,1015.42,51.99,1723955576962
sensor_2,27.95,1203.4,62.93,1723955576962
sensor_0,15.85,801.16,40.97,1723955576972
sensor_1,21.94,1015.43,51.89,1723955576972
sensor_2,28.04,1202.93,62.9,1723955576972
sensor_0,16.07,800.85,40.99,1723955576982
sensor_1,21.99,1015.04,52.07,1723955576982
sensor_2,28.18,1203.29,62.91,1723955576982
sensor_0,15.85,800.92,40.96,1723955576993
sensor_1,22.03,1014.89,52.08,1723955576993
sensor_2,28.1,1203.1,63.05,1723955576993
sensor_0,16.1,801.2,40.91,1723955577003
sensor_1,21.86,1014.82,51.97,1723955577003
sensor_2,28.06,1203.01,62.97,1723955577003
sensor_0,16.17,801.19,40.91,1723955577013
sensor_1,21.8,1015.45,51.94,1723955577013
sensor_2,27.75,1202.89,63.09,1723955577013
sensor_0,16.0,800.92,41.03,1723955577023
sensor_1,21.95,1015.74,52.11,1723955577023
sensor_2,27.98,1202.53,63.07,1723955577023
sensor_0,15.87,801.14,40.97,1723955577033
sensor_1,21.71,1015.49,51.91,1723955577033
sensor_2,27.87,1202.81,63.04,1723955577033
sensor_0,16.09,801.32,40.97,1723955577043
sensor_1,22.23,1014.91,51.95,1723955577044
sensor_2,28.04,1202.49,62.93,1723955577044
sensor_0,15.8,801.19,40.89,1723955577054
sensor_1,22.02,1014.74,52.02,1723955577054
sensor_2,27.83,1202.73,62.84,1723955577054
sensor_0,16.02,801.2,40.95,1723955577064
sensor_1,21.88,1015.08,51.95,1723955577064
sensor_2,27.64,1203.3,62.73,1723955577064
sensor_0,15.8,801.12,40.95,1723955577074
sensor_1,21.68,1015.07,51.75,1723955577074
sensor_2,27.73,1202.5,62.71,1723955577074
sensor_0,15.81,801.02,40.84,1723955577085
sensor_1,21.53,1015.44,51.94,1723955577085
sensor_2,27.8,1202.26,62.66,1723955577085
sensor_0,15.95,800.69,40.85,1723955577095
sensor_1,21.89,1014.42,51.75,1723955577095
sensor_2,27.42,1202.53,62.56,1723955577095
sensor_0,15.83,800.49,40.91,1723955577105
sensor_1,21.55,1014.67,51.82,1723955577105
sensor_2,27.77,1202.35,62.49,1723955577105
sensor_0,15.72,800.61,40.76,1723955577115
sensor_1,21.38,1015.33,51.79,1723955577115
sensor_2,27.5,1202.4,62.45,1723955577115
sensor_0,15.83,800.9,40.79,1723955577125
sensor_1,21.89,1014.59,51.58,1723955577125
sensor_2,27.51,1201.99,62.45,1723955577125
sensor_0,15.91,801.21,40.75,1723955577136
sensor_1,21.63,1015.02,51.49,1723955577136
sensor_2,27.31,1202.51,62.2,1723955577136
sensor_0,15.73,800.72,40.77,1723955577146
sensor_1,21.25,1015.25,51.4,1723955577146
sensor_2,27.18,1202.01,62.1,1723955577146
sensor_0,15.59,800.3,40.62,1723955577156
sensor_1,21.44,1014.32,51.29,1723955577156
sensor_2,27.35,1202.36,62.17,1723955577156
sensor_0,15.64,800.25,40.7,1723955577166
sensor_1,21.45,1015.14,51.29,1723955577166
sensor_2,27.23,1201.49,62.03,1723955577166
sensor_0,15.79,800.65,40.58,1723955577177
sensor_1,21.13,1014.95,51.38,1723955577177
sensor_2,26.99,1202.1,61.77,1723955577177
sensor_0,15.69,800.15,40.63,1723955577187
sensor_1,20.91,1014.5,51.26,1723955577187
sensor_2,26.74,1202.14,61.64,1723955577187
sensor_0,15.51,800.48,40.59,1723955577197
sensor_1,21.09,1014.48,51.18,1723955577197
sensor_2,26.59,1201.85,61.71,1723955577197
sensor_0,15.37,800.98,40.47,1723955577207
sensor_1,21.17,1014.64,51.13,1723955577208
sensor_2,26.32,1201.81,61.51,1723955577208
sensor_0,15.4,800.08,40.51,1723955577218
sensor_1,20.63,1014.27,50.81,1723955577218
sensor_2,26.16,1201.23,61.3,1723955577218
sensor_0,15.44,800.11,40.41,1723955577228
sensor_1,21.02,1014.0,50.85,1723955577228
sensor_2,26.18,1201.49,61.17,1723955577228
sensor_0,15.51,800.45,40.4,1723955577238
sensor_1,20.83,1014.06,50.58,1723955577238
sensor_2,26.14,1201.53,61.19,1723955577238
sensor_0,15.45,800.27,40.25,1723955577248
sensor_1,20.7,1013.96,50.63,1723955577248
sensor_2,25.77,1200.53,60.95,1723955577248
sensor_0,15.36,799.93,40.17,1723955577259
sensor_1,20.58,1013.72,50.5,1723955577259
sensor_2,25.97,1200.44,60.91,1723955577259
sensor_0,15.42,799.77,40.16,1723955577269
sensor_1,20.7,1013.79,50.42,1723955577269
sensor_2,25.91,1200.13,60.56,1723955577269
sensor_0,15.15,799.98,40.26,1723955577279
sensor_1,20.57,1014.0,50.38,1723955577279
sensor_2,25.41,1200.58,60.47,1723955577279
sensor_0,14.96,799.81,40.18,1723955577289
sensor_1,20.11,1013.95,50.29,1723955577289
sensor_2,25.52,1200.65,60.4,1723955577289
sensor_0,15.21,799.78,40.11,1723955577299
sensor_1,20.08,1013.17,50.05,1723955577300
sensor_2,25.15,1200.35,60.33,1723955577300
sensor_0,15.1,800.12,40.09,1723955577310
